Asset Code,Asset Name,External Format,Status,Release ID,Type,Parent,Output File Name,Notes
"SB-07-T03","Tracker","XLSX","ACTIVE","v2026-02-17r3","Template Child","SB-07-Txx","OnPoint_SB-07_T03_Tracker_v2026-02-17r3.xlsx","Operating tracker"
"SB-07-T04","Scripts Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-07-Txx","OnPoint_SB-07_T04_Scripts_Pack_v2026-02-17r3.docx","Stakeholder comms scripts"
"SB-07-T05","Notion Template","MD","ACTIVE","v2026-02-17r3","Template Child","SB-07-Txx","OnPoint_SB-07_T05_Notion_Template_v2026-02-17r3.md","Database/page template"
"SB-07-T06","Prompt Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-07-Txx","OnPoint_SB-07_T06_Prompt_Pack_v2026-02-17r3.docx","AI prompts"
"SB-08-Axx","SB-08 Appendix Pack Rollup — Sales Pipeline & Growth","Pack Rollup (Appendix)","ACTIVE","v2026-02-17r3","Pack Parent","SB-08","OnPoint_SB-08_Appendix_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-08-A01… (appendices, references, diagrams, artifacts)."
"SB-08-Wxx","SB-08 Web Copy Pack Rollup — Sales Pipeline & Growth","Pack Rollup (Web Copy)","ACTIVE","v2026-02-17r3","Pack Parent","SB-08","OnPoint_SB-08_Web_Copy_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-08-W01…W03 (landing, blocks/components, downloads hub)."
"SB-08-Txx","SB-08 Template Pack Rollup — Sales Pipeline & Growth","Pack Rollup (Templates)","ACTIVE","v2026-02-17r3","Pack Parent","SB-08","OnPoint_SB-08_Template_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-08-T01… (SOPs, scripts, email templates, policies, reusable assets)."
"SB-08-W01","Chapter Landing Page Copy","DOCX","ACTIVE","v2026-02-17r3","Web Child","SB-08-Wxx","OnPoint_SB-08_W01_Landing_Page_Copy_v2026-02-17r3.docx","SB-08 main page hero/intro, outcomes, navigation, CTA"
"SB-08-W02","Section Blocks & Component Copy","DOCX","ACTIVE","v2026-02-17r3","Web Child","SB-08-Wxx","OnPoint_SB-08_W02_Section_Blocks_Component_Copy_v2026-02-17r3.docx","Reusable section blocks (problem/solution, steps, proof, FAQ, CTAs)"
"SB-08-W03","Downloads Hub Copy","DOCX","ACTIVE","v2026-02-17r3","Web Child","SB-08-Wxx","OnPoint_SB-08_W03_Downloads_Hub_Copy_v2026-02-17r3.docx","Downloads index text, access notes, disclaimers, what's included"
"SB-08-A01","System Diagram","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-08-Axx","OnPoint_SB-08_A01_System_Diagram_v2026-02-17r3.pdf","Include in Appendix Pack index"
"SB-08-A02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-08-Axx","OnPoint_SB-08_A02_SOP_Template_v2026-02-17r3.docx","Version-locked template"
"SB-08-A03","Scorecard","XLSX","ACTIVE","v2026-02-17r3","Appendix Child","SB-08-Axx","OnPoint_SB-08_A03_Scorecard_v2026-02-17r3.xlsx","KPI/scorecard worksheet"
"SB-08-A04","Example Pack","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-08-Axx","OnPoint_SB-08_A04_Examples_v2026-02-17r3.pdf","Filled examples/screens"
"SB-08-A05","Standards & Definitions","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-08-Axx","OnPoint_SB-08_A05_Standards_Definitions_v2026-02-17r3.docx","Glossary + rules"
"SB-08-T01","Checklist","PDF","ACTIVE","v2026-02-17r3","Template Child","SB-08-Txx","OnPoint_SB-08_T01_Checklist_v2026-02-17r3.pdf","Printable checklist"
"SB-08-T02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-08-Txx","OnPoint_SB-08_T02_SOP_Template_v2026-02-17r3.docx","Execution SOP"
"SB-08-T03","Tracker","XLSX","ACTIVE","v2026-02-17r3","Template Child","SB-08-Txx","OnPoint_SB-08_T03_Tracker_v2026-02-17r3.xlsx","Operating tracker"
"SB-08-T04","Scripts Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-08-Txx","OnPoint_SB-08_T04_Scripts_Pack_v2026-02-17r3.docx","Stakeholder comms scripts"
"SB-08-T05","Notion Template","MD","ACTIVE","v2026-02-17r3","Template Child","SB-08-Txx","OnPoint_SB-08_T05_Notion_Template_v2026-02-17r3.md","Database/page template"
"SB-08-T06","Prompt Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-08-Txx","OnPoint_SB-08_T06_Prompt_Pack_v2026-02-17r3.docx","AI prompts"
"SB-09-Axx","SB-09 Appendix Pack Rollup — Finance & Reporting","Pack Rollup (Appendix)","ACTIVE","v2026-02-17r3","Pack Parent","SB-09","OnPoint_SB-09_Appendix_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-09-A01… (appendices, references, diagrams, artifacts)."
"SB-09-Wxx","SB-09 Web Copy Pack Rollup — Finance & Reporting","Pack Rollup (Web Copy)","ACTIVE","v2026-02-17r3","Pack Parent","SB-09","OnPoint_SB-09_Web_Copy_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-09-W01…W03 (landing, blocks/components, downloads hub)."
"SB-09-Txx","SB-09 Template Pack Rollup — Finance & Reporting","Pack Rollup (Templates)","ACTIVE","v2026-02-17r3","Pack Parent","SB-09","OnPoint_SB-09_Template_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-09-T01… (SOPs, scripts, email templates, policies, reusable assets)."
"SB-09-W01","Chapter Landing Page Copy","DOCX","ACTIVE","v2026-02-17r3","Web Child","SB-09-Wxx","OnPoint_SB-09_W01_Landing_Page_Copy_v2026-02-17r3.docx","SB-09 main page hero/intro, outcomes, navigation, CTA"
"SB-09-W02","Section Blocks & Component Copy","DOCX","ACTIVE","v2026-02-17r3","Web Child","SB-09-Wxx","OnPoint_SB-09_W02_Section_Blocks_Component_Copy_v2026-02-17r3.docx","Reusable section blocks (problem/solution, steps, proof, FAQ, CTAs)"
"SB-09-W03","Downloads Hub Copy","DOCX","ACTIVE","v2026-02-17r3","Web Child","SB-09-Wxx","OnPoint_SB-09_W03_Downloads_Hub_Copy_v2026-02-17r3.docx","Downloads index text, access notes, disclaimers, what's included"
"SB-09-A01","System Diagram","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-09-Axx","OnPoint_SB-09_A01_System_Diagram_v2026-02-17r3.pdf","Include in Appendix Pack index"
"SB-09-A02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-09-Axx","OnPoint_SB-09_A02_SOP_Template_v2026-02-17r3.docx","Version-locked template"
"SB-09-A03","Scorecard","XLSX","ACTIVE","v2026-02-17r3","Appendix Child","SB-09-Axx","OnPoint_SB-09_A03_Scorecard_v2026-02-17r3.xlsx","KPI/scorecard worksheet"
"SB-09-A04","Example Pack","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-09-Axx","OnPoint_SB-09_A04_Examples_v2026-02-17r3.pdf","Filled examples/screens"
"SB-09-A05","Standards & Definitions","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-09-Axx","OnPoint_SB-09_A05_Standards_Definitions_v2026-02-17r3.docx","Glossary + rules"
"SB-09-T01","Checklist","PDF","ACTIVE","v2026-02-17r3","Template Child","SB-09-Txx","OnPoint_SB-09_T01_Checklist_v2026-02-17r3.pdf","Printable checklist"
"SB-09-T02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-09-Txx","OnPoint_SB-09_T02_SOP_Template_v2026-02-17r3.docx","Execution SOP"
"SB-09-T03","Tracker","XLSX","ACTIVE","v2026-02-17r3","Template Child","SB-09-Txx","OnPoint_SB-09_T03_Tracker_v2026-02-17r3.xlsx","Operating tracker"
"SB-09-T04","Scripts Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-09-Txx","OnPoint_SB-09_T04_Scripts_Pack_v2026-02-17r3.docx","Stakeholder comms scripts"
"SB-09-T05","Notion Template","MD","ACTIVE","v2026-02-17r3","Template Child","SB-09-Txx","OnPoint_SB-09_T05_Notion_Template_v2026-02-17r3.md","Database/page template"
"SB-09-T06","Prompt Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-09-Txx","OnPoint_SB-09_T06_Prompt_Pack_v2026-02-17r3.docx","AI prompts"
"SB-10-Axx","SB-10 Appendix Pack Rollup — People & Org Design","Pack Rollup (Appendix)","ACTIVE","v2026-02-17r3","Pack Parent","SB-10","OnPoint_SB-10_Appendix_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-10-A01… (appendices, references, diagrams, artifacts)."
"SB-10-Wxx","SB-10 Web Copy Pack Rollup — People & Org Design","Pack Rollup (Web Copy)","ACTIVE","v2026-02-17r3","Pack Parent","SB-10","OnPoint_SB-10_Web_Copy_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-10-W01…W03 (landing, blocks/components, downloads hub)."
"SB-10-Txx","SB-10 Template Pack Rollup — People & Org Design","Pack Rollup (Templates)","ACTIVE","v2026-02-17r3","Pack Parent","SB-10","OnPoint_SB-10_Template_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-10-T01… (SOPs, scripts, email templates, policies, reusable assets)."
"SB-10-W01","Chapter Landing Page Copy","DOCX","ACTIVE","v2026-02-17r3","Web Child","SB-10-Wxx","OnPoint_SB-10_W01_Landing_Page_Copy_v2026-02-17r3.docx","SB-10 main page hero/intro, outcomes, navigation, CTA"
"SB-10-W02","Section Blocks & Component Copy","DOCX","ACTIVE","v2026-02-17r3","Web Child","SB-10-Wxx","OnPoint_SB-10_W02_Section_Blocks_Component_Copy_v2026-02-17r3.docx","Reusable section blocks (problem/solution, steps, proof, FAQ, CTAs)"
"SB-10-W03","Downloads Hub Copy","DOCX","ACTIVE","v2026-02-17r3","Web Child","SB-10-Wxx","OnPoint_SB-10_W03_Downloads_Hub_Copy_v2026-02-17r3.docx","Downloads index text, access notes, disclaimers, what's included"
"SB-10-A01","System Diagram","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-10-Axx","OnPoint_SB-10_A01_System_Diagram_v2026-02-17r3.pdf","Include in Appendix Pack index"
"SB-10-A02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-10-Axx","OnPoint_SB-10_A02_SOP_Template_v2026-02-17r3.docx","Version-locked template"
"SB-10-A03","Scorecard","XLSX","ACTIVE","v2026-02-17r3","Appendix Child","SB-10-Axx","OnPoint_SB-10_A03_Scorecard_v2026-02-17r3.xlsx","KPI/scorecard worksheet"
"SB-10-A04","Example Pack","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-10-Axx","OnPoint_SB-10_A04_Examples_v2026-02-17r3.pdf","Filled examples/screens"
"SB-10-A05","Standards & Definitions","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-10-Axx","OnPoint_SB-10_A05_Standards_Definitions_v2026-02-17r3.docx","Glossary + rules"
"SB-10-T01","Checklist","PDF","ACTIVE","v2026-02-17r3","Template Child","SB-10-Txx","OnPoint_SB-10_T01_Checklist_v2026-02-17r3.pdf","Printable checklist"
"SB-10-T02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-10-Txx","OnPoint_SB-10_T02_SOP_Template_v2026-02-17r3.docx","Execution SOP"
"SB-10-T03","Tracker","XLSX","ACTIVE","v2026-02-17r3","Template Child","SB-10-Txx","OnPoint_SB-10_T03_Tracker_v2026-02-17r3.xlsx","Operating tracker"
"SB-10-T04","Scripts Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-10-Txx","OnPoint_SB-10_T04_Scripts_Pack_v2026-02-17r3.docx","Stakeholder comms scripts"
"SB-10-T05","Notion Template","MD","ACTIVE","v2026-02-17r3","Template Child","SB-10-Txx","OnPoint_SB-10_T05_Notion_Template_v2026-02-17r3.md","Database/page template"
"SB-10-T06","Prompt Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-10-Txx","OnPoint_SB-10_T06_Prompt_Pack_v2026-02-17r3.docx","AI prompts"
"SB-11-Axx","SB-11 Appendix Pack Rollup — Legal, Risk & Compliance","Pack Rollup (Appendix)","ACTIVE","v2026-02-17r3","Pack Parent","SB-11","OnPoint_SB-11_Appendix_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-11-A01… (appendices, references, diagrams, artifacts)."
"SB-11-Wxx","SB-11 Web Copy Pack Rollup — Legal, Risk & Compliance","Pack Rollup (Web Copy)","ACTIVE","v2026-02-17r3","Pack Parent","SB-11","OnPoint_SB-11_Web_Copy_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-11-W01…W03 (landing, blocks/components, downloads hub)."
"SB-11-Txx","SB-11 Template Pack Rollup — Legal, Risk & Compliance","Pack Rollup (Templates)","ACTIVE","v2026-02-17r3","Pack Parent","SB-11","OnPoint_SB-11_Template_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-11-T01… (SOPs, scripts, email templates, policies, reusable assets)."
"SB-11-W01","Chapter Landing Page Copy","DOCX","ACTIVE","v2026-02-17r3","Web Child","SB-11-Wxx","OnPoint_SB-11_W01_Landing_Page_Copy_v2026-02-17r3.docx","SB-11 main page hero/intro, outcomes, navigation, CTA"
"SB-11-W02","Section Blocks & Component Copy","DOCX","ACTIVE","v2026-02-17r3","Web Child","SB-11-Wxx","OnPoint_SB-11_W02_Section_Blocks_Component_Copy_v2026-02-17r3.docx","Reusable section blocks (problem/solution, steps, proof, FAQ, CTAs)"
"SB-11-W03","Downloads Hub Copy","DOCX","ACTIVE","v2026-02-17r3","Web Child","SB-11-Wxx","OnPoint_SB-11_W03_Downloads_Hub_Copy_v2026-02-17r3.docx","Downloads index text, access notes, disclaimers, what's included"
"SB-11-A01","System Diagram","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-11-Axx","OnPoint_SB-11_A01_System_Diagram_v2026-02-17r3.pdf","Include in Appendix Pack index"
"SB-11-A02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-11-Axx","OnPoint_SB-11_A02_SOP_Template_v2026-02-17r3.docx","Version-locked template"
"SB-11-A03","Scorecard","XLSX","ACTIVE","v2026-02-17r3","Appendix Child","SB-11-Axx","OnPoint_SB-11_A03_Scorecard_v2026-02-17r3.xlsx","KPI/scorecard worksheet"
"SB-11-A04","Example Pack","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-11-Axx","OnPoint_SB-11_A04_Examples_v2026-02-17r3.pdf","Filled examples/screens"
"SB-11-A05","Standards & Definitions","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-11-Axx","OnPoint_SB-11_A05_Standards_Definitions_v2026-02-17r3.docx","Glossary + rules"
"SB-11-T01","Checklist","PDF","ACTIVE","v2026-02-17r3","Template Child","SB-11-Txx","OnPoint_SB-11_T01_Checklist_v2026-02-17r3.pdf","Printable checklist"
"SB-11-T02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-11-Txx","OnPoint_SB-11_T02_SOP_Template_v2026-02-17r3.docx","Execution SOP"
"SB-11-T03","Tracker","XLSX","ACTIVE","v2026-02-17r3","Template Child","SB-11-Txx","OnPoint_SB-11_T03_Tracker_v2026-02-17r3.xlsx","Operating tracker"
"SB-11-T04","Scripts Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-11-Txx","OnPoint_SB-11_T04_Scripts_Pack_v2026-02-17r3.docx","Stakeholder comms scripts"
"SB-11-T05","Notion Template","MD","ACTIVE","v2026-02-17r3","Template Child","SB-11-Txx","OnPoint_SB-11_T05_Notion_Template_v2026-02-17r3.md","Database/page template"
"SB-11-T06","Prompt Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-11-Txx","OnPoint_SB-11_T06_Prompt_Pack_v2026-02-17r3.docx","AI prompts"
"SB-12-Axx","SB-12 Appendix Pack Rollup — Exit Readiness & M&A Package","Pack Rollup (Appendix)","ACTIVE","v2026-02-17r3","Pack Parent","SB-12","OnPoint_SB-12_Appendix_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-12-A01… (appendices, references, diagrams, artifacts)."
"SB-12-Wxx","SB-12 Web Copy Pack Rollup — Exit Readiness & M&A Package","Pack Rollup (Web Copy)","ACTIVE","v2026-02-17r3","Pack Parent","SB-12","OnPoint_SB-12_Web_Copy_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-12-W01…W03 (landing, blocks/components, downloads hub)."
"SB-12-Txx","SB-12 Template Pack Rollup — Exit Readiness & M&A Package","Pack Rollup (Templates)","ACTIVE","v2026-02-17r3","Pack Parent","SB-12","OnPoint_SB-12_Template_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-12-T01… (SOPs, scripts, email templates, policies, reusable assets)."
"SB-12-W01","Chapter Landing Page Copy","DOCX","ACTIVE","v2026-02-17r3","Web Child","SB-12-Wxx","OnPoint_SB-12_W01_Landing_Page_Copy_v2026-02-17r3.docx","SB-12 main page hero/intro, outcomes, navigation, CTA"
"SB-12-W02","Section Blocks & Component Copy","DOCX","ACTIVE","v2026-02-17r3","Web Child","SB-12-Wxx","OnPoint_SB-12_W02_Section_Blocks_Component_Copy_v2026-02-17r3.docx","Reusable section blocks (problem/solution, steps, proof, FAQ, CTAs)"
"SB-12-W03","Downloads Hub Copy","DOCX","ACTIVE","v2026-02-17r3","Web Child","SB-12-Wxx","OnPoint_SB-12_W03_Downloads_Hub_Copy_v2026-02-17r3.docx","Downloads index text, access notes, disclaimers, what's included"
"SB-12-A01","System Diagram","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-12-Axx","OnPoint_SB-12_A01_System_Diagram_v2026-02-17r3.pdf","Include in Appendix Pack index"
"SB-12-A02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-12-Axx","OnPoint_SB-12_A02_SOP_Template_v2026-02-17r3.docx","Version-locked template"
"SB-12-A03","Scorecard","XLSX","ACTIVE","v2026-02-17r3","Appendix Child","SB-12-Axx","OnPoint_SB-12_A03_Scorecard_v2026-02-17r3.xlsx","KPI/scorecard worksheet"
"SB-12-A04","Example Pack","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-12-Axx","OnPoint_SB-12_A04_Examples_v2026-02-17r3.pdf","Filled examples/screens"
"SB-12-A05","Standards & Definitions","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-12-Axx","OnPoint_SB-12_A05_Standards_Definitions_v2026-02-17r3.docx","Glossary + rules"
"SB-12-T01","Checklist","PDF","ACTIVE","v2026-02-17r3","Template Child","SB-12-Txx","OnPoint_SB-12_T01_Checklist_v2026-02-17r3.pdf","Printable checklist"
"SB-12-T02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-12-Txx","OnPoint_SB-12_T02_SOP_Template_v2026-02-17r3.docx","Execution SOP"
"SB-12-T03","Tracker","XLSX","ACTIVE","v2026-02-17r3","Template Child","SB-12-Txx","OnPoint_SB-12_T03_Tracker_v2026-02-17r3.xlsx","Operating tracker"
"SB-12-T04","Scripts Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-12-Txx","OnPoint_SB-12_T04_Scripts_Pack_v2026-02-17r3.docx","Stakeholder comms scripts"
"SB-12-T05","Notion Template","MD","ACTIVE","v2026-02-17r3","Template Child","SB-12-Txx","OnPoint_SB-12_T05_Notion_Template_v2026-02-17r3.md","Database/page template"
"SB-12-T06","Prompt Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-12-Txx","OnPoint_SB-12_T06_Prompt_Pack_v2026-02-17r3.docx","AI prompts"
